amr_id,task_id,sequence_order,segment_type,path_uid,step_index,edge_id,from_node_on_edge,to_node_on_edge,start_time,end_time,duration,capacity,edge_type,lockable
AMR2,T08,2,loaded,P9__SORT2__path_1,0,e23,P9,SORT2,18.0,21.0,3.0,2,normal,0
AMR2,T10,3,transition,SORT2__P5__path_1,0,e23,SORT2,P9,21.0,24.0,3.0,2,normal,0
AMR2,T10,3,transition,SORT2__P5__path_1,1,e17,P9,P6,24.0,26.0,2.0,2,normal,0
AMR2,T10,3,transition,SORT2__P5__path_1,2,e14,P6,P5,26.0,28.0,2.0,1,narrow,0
AMR2,T10,3,loaded,P5__OUT1__path_1,0,e13,P5,P4,31.0,33.0,2.0,1,narrow,0
AMR2,T10,3,loaded,P5__OUT1__path_1,1,e15,P4,P7,33.0,35.0,2.0,2,normal,0
AMR2,T10,3,loaded,P5__OUT1__path_1,2,e20,P7,SORT1,35.0,38.0,3.0,2,normal,0
AMR2,T10,3,loaded,P5__OUT1__path_1,3,e24,SORT1,OUT1,38.0,40.0,2.0,1,oneway,0
AMR3,T05,1,transition,CHG1__P6__path_1,0,e26,CHG1,J1,0.0,2.0,2.0,1,normal,0
AMR3,T05,1,transition,CHG1__P6__path_1,1,e03,J1,J2,2.0,4.0,2.0,2,normal,0
AMR3,T05,1,transition,CHG1__P6__path_1,2,e04,J2,J3,4.0,6.0,2.0,2,normal,0
AMR3,T05,1,transition,CHG1__P6__path_1,3,e07,J3,P3,6.0,8.0,2.0,2,normal,0
AMR3,T05,1,transition,CHG1__P6__path_1,4,e12,P3,P6,8.0,10.0,2.0,1,narrow,0
AMR3,T05,1,loaded,P6__OUT2__path_1,0,e17,P6,P9,12.0,14.0,2.0,2,normal,0
AMR3,T05,1,loaded,P6__OUT2__path_1,1,e23,P9,SORT2,14.0,17.0,3.0,2,normal,0
AMR3,T05,1,loaded,P6__OUT2__path_1,2,e25,SORT2,OUT2,17.0,19.0,2.0,1,oneway,0
AMR3,T11,3,transition,SORT1__P3__path_1,0,e21,SORT1,P8,19.0,22.0,3.0,2,normal,0
AMR3,T11,3,transition,SORT1__P3__path_1,1,e19,P8,P9,22.0,24.0,2.0,2,normal,0
AMR3,T11,3,transition,SORT1__P3__path_1,2,e17,P9,P6,24.0,26.0,2.0,2,normal,0
AMR3,T11,3,transition,SORT1__P3__path_1,3,e12,P6,P3,26.0,28.0,2.0,1,narrow,0
AMR3,T11,3,loaded,P3__OUT2__path_1,0,e12,P3,P6,30.0,32.0,2.0,1,narrow,0
AMR3,T11,3,loaded,P3__OUT2__path_1,1,e17,P6,P9,32.0,34.0,2.0,2,normal,0
AMR3,T11,3,loaded,P3__OUT2__path_1,2,e23,P9,SORT2,34.0,37.0,3.0,2,normal,0
AMR3,T11,3,loaded,P3__OUT2__path_1,3,e25,SORT2,OUT2,37.0,39.0,2.0,1,oneway,0
AMR4,T03,1,transition,CHG2__P5__path_1,0,e27,CHG2,P7,0.0,2.0,2.0,1,normal,0
AMR4,T03,1,transition,CHG2__P5__path_1,1,e15,P7,P4,2.0,4.0,2.0,2,normal,0
AMR4,T03,1,transition,CHG2__P5__path_1,2,e13,P4,P5,4.0,6.0,2.0,1,narrow,0
AMR4,T03,1,loaded,P5__SORT1__path_1,0,e13,P5,P4,9.0,11.0,2.0,1,narrow,0
AMR4,T03,1,loaded,P5__SORT1__path_1,1,e15,P4,P7,11.0,13.0,2.0,2,normal,0
AMR4,T03,1,loaded,P5__SORT1__path_1,2,e20,P7,SORT1,13.0,16.0,3.0,2,normal,0
AMR4,T04,2,transition,SORT1__P8__path_1,0,e21,SORT1,P8,16.0,19.0,3.0,2,normal,0
AMR4,T04,2,loaded,P8__SORT2__path_1,0,e22,P8,SORT2,21.0,24.0,3.0,2,normal,0
AMR4,T07,3,transition,SORT2__P7__path_1,0,e22,SORT2,P8,24.0,27.0,3.0,2,normal,0
AMR4,T07,3,transition,SORT2__P7__path_1,1,e18,P8,P7,27.0,29.0,2.0,2,normal,0
AMR4,T07,3,loaded,P7__OUT1__path_1,0,e20,P7,SORT1,32.0,35.0,3.0,2,normal,0
AMR4,T07,3,loaded,P7__OUT1__path_1,1,e24,SORT1,OUT1,35.0,37.0,2.0,1,oneway,0
