path_uid,from_node,to_node,path_id,rank_by_total,algorithm,node_sequence,edge_sequence,edge_occupancy_offset,node_occupancy_offset,distance,travel_time,turn_count,turn_cost,risk_cost,narrow_count,dynamic_count,lockable_count,bottleneck_capacity,total_cost
P8__IN2__path_2,P8,IN2,path_2,2,k_shortest_total,P8->SORT2->P9->P6->P3->J3->IN2,e22->e23->e17->e12->e07->e02,e22@0-3;e23@3-6;e17@6-8;e12@8-10;e07@10-12;e02@12-14,P8@0;SORT2@3;P9@6;P6@8;P3@10;J3@12;IN2@14,12.4,14.0,2,1.0,7.0,1,0,0,1,23.0
P8__IN2__path_3,P8,IN2,path_3,3,k_shortest_total,P8->P7->P4->P1->J1->J2->J3->IN2,e18->e15->e10->e05->e03->e04->e02,e18@0-2;e15@2-4;e10@4-6;e05@6-8;e03@8-10;e04@10-12;e02@12-14,P8@0;P7@2;P4@4;P1@6;J1@8;J2@10;J3@12;IN2@14,14.0,14.0,3,1.5,8.0,1,0,0,1,24.5
P8__IN2__path_4,P8,IN2,path_4,4,dijkstra_time,P8->P5->P2->J2->J3->IN2,e16->e11->e06->e04->e02,e16@0-2;e11@2-4;e06@4-6;e04@6-8;e02@8-10,P8@0;P5@2;P2@4;J2@6;J3@8;IN2@10,10.0,10.0,2,1.0,10.0,2,1,1,1,26.0
P8__P1__path_1,P8,P1,path_1,1,dijkstra_total+k_shortest_total,P8->P7->P4->P1,e18->e15->e10,e18@0-2;e15@2-4;e10@4-6,P8@0;P7@2;P4@4;P1@6,6.0,6.0,1,0.5,4.0,1,0,0,1,11.5
P8__P1__path_2,P8,P1,path_2,2,k_shortest_total,P8->SORT1->P7->P4->P1,e21->e20->e15->e10,e21@0-3;e20@3-6;e15@6-8;e10@8-10,P8@0;SORT1@3;P7@6;P4@8;P1@10,8.4,10.0,2,1.0,5.0,1,0,0,1,17.0
P8__P1__path_3,P8,P1,path_3,3,dijkstra_time+k_shortest_total,P8->P5->P2->P1,e16->e11->e08,e16@0-2;e11@2-4;e08@4-6,P8@0;P5@2;P2@4;P1@6,6.0,6.0,1,0.5,7.0,1,1,1,1,17.5
P8__P2__path_1,P8,P2,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->P5->P2,e16->e11,e16@0-2;e11@2-4,P8@0;P5@2;P2@4,4.0,4.0,0,0.0,6.0,1,1,1,1,14.0
P8__P2__path_2,P8,P2,path_2,2,k_shortest_total,P8->P7->P4->P1->P2,e18->e15->e10->e08,e18@0-2;e15@2-4;e10@4-6;e08@6-8,P8@0;P7@2;P4@4;P1@6;P2@8,8.0,8.0,2,1.0,5.0,1,0,0,1,15.0
P8__P2__path_3,P8,P2,path_3,3,k_shortest_total,P8->P9->P6->P3->P2,e19->e17->e12->e09,e19@0-2;e17@2-4;e12@4-6;e09@6-8,P8@0;P9@2;P6@4;P3@6;P2@8,8.0,8.0,2,1.0,5.0,1,0,0,1,15.0
P8__P3__path_1,P8,P3,path_1,1,dijkstra_total+k_shortest_total,P8->P9->P6->P3,e19->e17->e12,e19@0-2;e17@2-4;e12@4-6,P8@0;P9@2;P6@4;P3@6,6.0,6.0,1,0.5,4.0,1,0,0,1,11.5
P8__P3__path_2,P8,P3,path_2,2,k_shortest_total,P8->SORT2->P9->P6->P3,e22->e23->e17->e12,e22@0-3;e23@3-6;e17@6-8;e12@8-10,P8@0;SORT2@3;P9@6;P6@8;P3@10,8.4,10.0,2,1.0,5.0,1,0,0,1,17.0
P8__P3__path_3,P8,P3,path_3,3,dijkstra_time+k_shortest_total,P8->P5->P2->P3,e16->e11->e09,e16@0-2;e11@2-4;e09@4-6,P8@0;P5@2;P2@4;P3@6,6.0,6.0,1,0.5,7.0,1,1,1,1,17.5
P8__P4__path_1,P8,P4,path_1,1,dijkstra_total+k_shortest_total,P8->P7->P4,e18->e15,e18@0-2;e15@2-4,P8@0;P7@2;P4@4,4.0,4.0,1,0.5,2.0,0,0,0,2,6.5
P8__P4__path_2,P8,P4,path_2,2,k_shortest_total,P8->SORT1->P7->P4,e21->e20->e15,e21@0-3;e20@3-6;e15@6-8,P8@0;SORT1@3;P7@6;P4@8,6.4,8.0,2,1.0,3.0,0,0,0,2,12.0
P8__P4__path_3,P8,P4,path_3,3,dijkstra_time+k_shortest_total,P8->P5->P4,e16->e13,e16@0-2;e13@2-4,P8@0;P5@2;P4@4,4.0,4.0,1,0.5,6.0,1,1,1,1,14.5
P8__P5__path_1,P8,P5,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->P5,e16,e16@0-2,P8@0;P5@2,2.0,2.0,0,0.0,4.0,0,1,1,1,9.0
P8__P5__path_2,P8,P5,path_2,2,k_shortest_total,P8->P7->P4->P5,e18->e15->e13,e18@0-2;e15@2-4;e13@4-6,P8@0;P7@2;P4@4;P5@6,6.0,6.0,2,1.0,4.0,1,0,0,1,12.0
P8__P5__path_3,P8,P5,path_3,3,k_shortest_total,P8->P9->P6->P5,e19->e17->e14,e19@0-2;e17@2-4;e14@4-6,P8@0;P9@2;P6@4;P5@6,6.0,6.0,2,1.0,4.0,1,0,0,1,12.0
