instance,method,p1_algorithm,task_count,amr_count,solve_time,missing_transition_count,missing_loaded_path_count,energy_violation_count,priority_late_count,late_count,priority_delay,total_delay,Cmax,empty_cost,loaded_cost,empty_distance,loaded_distance,total_energy_used,total_waiting,load_balance_penalty,F2,F3,solver_info
base,m2_swap_f2_f3,mixed,12,4,116.692,0,0,0,0.0,0.0,0.0,0.0,40.840111,58.646,81.119,52.146,69.619,141.0888,1.954273,2.243141,204.200556,280.812214,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f3': 254.5898, 'f2': 224.578335}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f3': 'Solution Found', 'f2': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f3', 'f2'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 116.635}"
amr_n2,m1,mixed,12,2,0.108,0,0,0,6.0,4.0,164.932222,105.049778,87.021889,66.528,81.119,57.528,69.619,146.4708,0.0,12.161333,7484.071667,401.140133,{'solve_seconds': 0.051}
amr_n2,m2,mixed,12,2,117.568,0,0,0,5.0,4.0,157.199444,124.593222,84.606222,68.41,81.119,59.91,69.619,148.8528,0.0,4.948,7630.878889,335.1528,"{'level_values': {'missing': 0, 'f1_priority_late': 5.0, 'f1_late': 4.0, 'f2': 7630.87887, 'f3': 335.15278}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'Solution Found', 'f1_late': 'Solution Found', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'milp', 'solve_seconds': 117.568}"
amr_n2,m3,mixed,12,2,0.12,0,0,0,5.0,4.0,157.199444,124.593222,84.606222,68.41,81.119,59.91,69.619,148.8528,0.0,4.948,7630.878889,335.1528,"{'solve_seconds': 0.12, 'local_search_iterations': 4}"
amr_n3,m1,mixed,12,3,0.384,0,0,0,3.0,2.0,32.270864,19.77642,64.494444,65.628,81.119,60.128,69.619,149.0708,0.365,14.795222,1686.126543,428.279022,{'solve_seconds': 0.384}
amr_n3,m2,mixed,12,3,115.255,0,0,0,1.0,1.0,11.802333,11.802333,59.802333,62.722,81.119,55.722,69.619,144.6648,0.097,8.200667,889.128333,352.115467,"{'level_values': {'missing': 0, 'f1_priority_late': 1.0, 'f1_late': 1.0, 'f2': 889.128315, 'f3': 348.13213}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'Solution Found', 'f1_late': 'Solution Found', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'milp', 'solve_seconds': 115.255}"
amr_n3,m3,mixed,12,3,0.068,0,0,0,1.0,1.0,11.802333,11.802333,59.802333,62.722,81.119,55.722,69.619,144.6648,0.097,8.200667,889.128333,352.115467,"{'solve_seconds': 0.068, 'local_search_iterations': 1}"
amr_n4,m1,mixed,12,4,5.439,0,0,0,3.0,2.0,8.924636,8.236152,52.688485,65.963,81.119,57.963,69.619,146.9058,9.440545,16.058707,695.904545,439.418871,{'solve_seconds': 5.439}
amr_n4,m2,mixed,12,4,56.968,0,0,0,0.0,0.0,0.0,0.0,40.840111,58.646,81.119,52.146,69.619,141.0888,1.954273,2.243141,204.200556,280.812214,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 204.200555, 'f3': 258.3808}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'milp', 'solve_seconds': 56.968}"
amr_n4,m3,mixed,12,4,0.116,0,0,0,0.0,0.0,0.0,0.0,40.840111,58.646,81.119,52.146,69.619,141.0888,1.954273,2.243141,204.200556,280.812214,"{'solve_seconds': 0.116, 'local_search_iterations': 3}"
