sample_id,design,x_m,x_n,x_cap_cluster,m,n,cap_cluster,run_key,Cmax,total_delay,remaining_conflicts,feasible,mapping_rule
116,sobol,0.1024802374,0.4122961992,0.7423015162,3,13,2,s1_m03_n13_cap2,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
117,sobol,0.1024802374,0.5409886837,0.7423015162,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
118,sobol,0.3323733639,0.4122961992,0.7423015162,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
119,sobol,0.3323733639,0.5409886837,0.2103147022,4,14,1,s1_m04_n14_cap1,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
120,sobol,0.3323733639,0.5409886837,0.7423015162,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
121,sobol,0.9802320637,0.91959548,0.6799347345,6,15,2,s1_m06_n15_cap2,55.189223,13.29589,38,1,round unit-hypercube coordinate to nearest configured discrete level
122,sobol,0.8949752152,0.91959548,0.6799347345,6,15,2,s1_m06_n15_cap2,55.189223,13.29589,38,1,round unit-hypercube coordinate to nearest configured discrete level
123,sobol,0.9802320637,0.1671953266,0.6799347345,6,13,2,s1_m06_n13_cap2,32.228889,0.0,36,1,round unit-hypercube coordinate to nearest configured discrete level
124,sobol,0.9802320637,0.91959548,0.0867224569,6,15,1,s1_m06_n15_cap1,59.189223,21.29589,40,1,round unit-hypercube coordinate to nearest configured discrete level
125,sobol,0.9802320637,0.1671953266,0.0867224569,6,13,1,s1_m06_n13_cap1,32.228889,0.0,42,1,round unit-hypercube coordinate to nearest configured discrete level
126,sobol,0.8949752152,0.91959548,0.0867224569,6,15,1,s1_m06_n15_cap1,59.189223,21.29589,40,1,round unit-hypercube coordinate to nearest configured discrete level
127,sobol,0.8949752152,0.1671953266,0.6799347345,6,13,2,s1_m06_n13_cap2,32.228889,0.0,36,1,round unit-hypercube coordinate to nearest configured discrete level
128,sobol,0.8949752152,0.1671953266,0.0867224569,6,13,1,s1_m06_n13_cap1,32.228889,0.0,42,1,round unit-hypercube coordinate to nearest configured discrete level
129,sobol,0.9495096523,0.392901795,0.3820500001,6,13,2,s1_m06_n13_cap2,32.228889,0.0,36,1,round unit-hypercube coordinate to nearest configured discrete level
130,sobol,0.1913639558,0.392901795,0.3820500001,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
131,sobol,0.9495096523,0.9445047509,0.3820500001,6,15,2,s1_m06_n15_cap2,55.189223,13.29589,38,1,round unit-hypercube coordinate to nearest configured discrete level
