run_key,seed,m,n,cap_cluster,cluster_id,method,p1_algorithm,p3_mode,Cmax,total_delay,remaining_conflicts,total_wait_added,solve_time_p2,solve_time_p3,solve_time_total,missing_path_count,missing_transition_count,missing_loaded_path_count,energy_violation_count,p2_feasible,conflict_free,feasible,case_tasks_csv,case_amrs_csv,case_output_dir,source
s1_m04_n15_cap1,1,4,15,1,C03,m2,mixed,wait_reroute_resequence,60.342889,13.226889,14,8.0,58.208,13.20147,71.419223,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n15_cap1,p5_stage5_true_p2_p3_run
s1_m04_n15_cap2,1,4,15,2,C03,m2,mixed,wait_reroute_resequence,68.875433,36.427014,0,27.5,58.293,35.324527,93.627933,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n15_cap2,p5_stage5_true_p2_p3_run
s1_m04_n15_cap3,1,4,15,3,C03,m2,mixed,wait_reroute_resequence,68.875433,36.427014,0,27.5,58.295,36.681167,94.985687,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n15_cap3,p5_stage5_true_p2_p3_run
s1_m05_n12_cap1,1,5,12,1,C03,m2,mixed,wait_reroute_resequence,54.189223,11.29589,13,20.0,58.663,3.860456,62.534854,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n12_cap1,p5_stage5_true_p2_p3_run
s1_m05_n12_cap2,1,5,12,2,C03,m2,mixed,wait_reroute_resequence,54.189223,11.29589,13,20.0,58.678,3.56811,62.256017,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n12_cap2,p5_stage5_true_p2_p3_run
s1_m05_n12_cap3,1,5,12,3,C03,m2,mixed,wait_reroute_resequence,54.189223,11.29589,13,20.0,58.617,3.560841,62.187324,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n12_cap3,p5_stage5_true_p2_p3_run
s1_m05_n13_cap1,1,5,13,1,C03,m2,mixed,wait_reroute_resequence,57.193778,5.193778,10,22.0,58.263,5.570585,63.844187,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n13_cap1,p5_stage5_true_p2_p3_run
s1_m05_n13_cap2,1,5,13,2,C03,m2,mixed,wait_reroute_resequence,57.193778,5.193778,9,22.0,58.325,5.681134,64.015852,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n13_cap2,p5_stage5_true_p2_p3_run
s1_m05_n13_cap3,1,5,13,3,C03,m2,mixed,wait_reroute_resequence,57.193778,5.193778,9,22.0,58.345,5.731701,64.086446,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n13_cap3,p5_stage5_true_p2_p3_run
s1_m05_n14_cap1,1,5,14,1,C03,m2,mixed,wait_reroute_resequence,66.245,45.246556,30,26.0,58.102,6.906815,65.017978,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n14_cap1,p5_stage5_true_p2_p3_run
s1_m05_n14_cap2,1,5,14,2,C03,m2,mixed,wait_reroute_resequence,66.245,45.246556,30,26.0,58.102,7.005038,65.116247,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n14_cap2,p5_stage5_true_p2_p3_run
s1_m05_n14_cap3,1,5,14,3,C03,m2,mixed,wait_reroute_resequence,66.245,45.246556,30,26.0,58.101,7.662973,65.773722,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n14_cap3,p5_stage5_true_p2_p3_run
