path_uid,from_node,to_node,path_id,rank_by_total,algorithm,path_geometry,grid_cell_sequence,trajectory_sample_count,distance,travel_time,turn_count,turn_cost,risk_cost,dynamic_cost,total_cost,planning_status,start_cell,goal_cell
P1__CHG1__path_1,P1,CHG1,path_1,1,davg,"2.98,0.95;1.00,0.00",,6,2.196,2.196,0,0.0,0.0,0.0,2.196,ok,,
P1__CHG2__path_1,P1,CHG2,path_1,1,davg,"2.98,0.95;3.05,0.35;9.00,0.00",,15,6.564,6.564,1,0.698,0.0,0.0,7.262,ok,,
P2__IN1__path_1,P2,IN1,path_1,1,davg,"4.52,2.35;4.50,3.10;3.05,3.10;0.00,1.00",,13,5.903,5.903,2,1.074,0.0,0.0,6.977,ok,,
P2__IN2__path_1,P2,IN2,path_1,1,davg,"4.52,2.35;4.50,3.10;0.00,5.00",,13,5.635,5.635,1,0.572,0.0,0.0,6.207,ok,,
P2__P1__path_1,P2,P1,path_1,1,davg,"4.52,2.35;4.50,0.35;3.05,0.35;2.98,0.95",,10,4.054,4.054,2,1.508,0.0,0.0,5.562,ok,,
P2__P3__path_1,P2,P3,path_1,1,davg,"4.52,2.35;4.50,3.10;3.65,4.25;3.58,5.25",,8,3.183,3.183,2,0.588,0.0,0.0,3.771,ok,,
P2__P4__path_1,P2,P4,path_1,1,davg,"4.52,2.35;4.98,1.35",,4,1.101,1.101,0,0.0,0.0,0.0,1.101,ok,,
P2__P5__path_1,P2,P5,path_1,1,davg,"4.52,2.35;4.85,4.00;5.62,4.10",,6,2.459,2.459,1,0.622,0.0,0.0,3.081,ok,,
P2__P6__path_1,P2,P6,path_1,1,davg,"4.52,2.35;4.85,4.00;5.50,4.25;6.15,5.70;7.98,5.72",,13,5.798,5.798,3,1.463,0.0,0.0,7.262,ok,,
P2__P7__path_1,P2,P7,path_1,1,davg,"4.52,2.35;5.05,2.75;6.75,2.75;7.28,1.00",,10,4.192,4.192,2,0.962,0.0,0.0,5.154,ok,,
P2__P8__path_1,P2,P8,path_1,1,davg,"4.52,2.35;5.05,2.75;6.50,2.75;7.35,3.20;8.80,3.20;8.82,2.35",,12,5.376,5.376,4,1.584,0.0,0.0,6.96,ok,,
P2__P9__path_1,P2,P9,path_1,1,davg,"4.52,2.35;4.85,4.00;5.50,4.25;6.08,5.05",,8,3.367,3.367,2,0.791,0.0,0.0,4.158,ok,,
P2__SORT1__path_1,P2,SORT1,path_1,1,davg,"4.52,2.35;5.05,2.75;6.50,2.75;7.35,3.20;8.80,3.20;9.72,2.16",,13,5.914,5.914,4,1.233,0.0,0.0,7.148,ok,,
P2__SORT2__path_1,P2,SORT2,path_1,1,davg,"4.52,2.35;5.05,2.75;6.50,2.75;7.35,3.20;10.36,4.05",,14,6.203,6.203,3,0.673,0.0,0.0,6.876,ok,,
P2__OUT1__path_1,P2,OUT1,path_1,1,davg,"4.52,2.35;5.05,2.75;6.50,2.75;7.35,3.20;8.80,3.20;12.00,2.00",,17,7.943,7.943,4,0.99,0.0,0.0,8.933,ok,,
P2__OUT2__path_1,P2,OUT2,path_1,1,davg,"4.52,2.35;5.05,2.75;6.50,2.75;7.35,3.20;12.00,4.00",,17,7.794,7.794,3,0.725,0.0,0.0,8.519,ok,,
P2__CHG1__path_1,P2,CHG1,path_1,1,davg,"4.52,2.35;4.50,0.35;1.00,0.00",,13,5.518,5.518,1,0.731,0.0,0.0,6.248,ok,,
P2__CHG2__path_1,P2,CHG2,path_1,1,davg,"4.52,2.35;5.05,0.40;9.00,0.00",,13,5.991,5.991,1,0.602,0.0,0.0,6.593,ok,,
P3__IN1__path_1,P3,IN1,path_1,1,davg,"3.58,5.25;0.00,1.00",,13,5.557,5.557,0,0.0,0.0,0.0,5.557,ok,,
P3__IN2__path_1,P3,IN2,path_1,1,davg,"3.58,5.25;0.00,5.00",,9,3.589,3.589,0,0.0,0.0,0.0,3.589,ok,,
P3__P1__path_1,P3,P1,path_1,1,davg,"3.58,5.25;3.05,3.10;2.98,0.95",,10,4.366,4.366,1,0.105,0.0,0.0,4.47,ok,,
P3__P2__path_1,P3,P2,path_1,1,davg,"3.58,5.25;3.65,4.25;4.50,3.10;4.52,2.35",,8,3.183,3.183,2,0.588,0.0,0.0,3.771,ok,,
P3__P4__path_1,P3,P4,path_1,1,davg,"3.58,5.25;3.65,4.25;4.50,3.10;4.98,1.35",,10,4.247,4.247,2,0.468,0.0,0.0,4.715,ok,,
P3__P5__path_1,P3,P5,path_1,1,davg,"3.58,5.25;3.65,4.25;5.62,4.10",,7,2.978,2.978,1,0.712,0.0,0.0,3.691,ok,,
P3__P6__path_1,P3,P6,path_1,1,davg,"3.58,5.25;3.65,4.25;5.50,4.25;6.15,5.70;7.98,5.72",,14,6.272,6.272,3,1.894,0.0,0.0,8.166,ok,,
P3__P7__path_1,P3,P7,path_1,1,davg,"3.58,5.25;3.65,4.25;4.85,2.75;6.75,2.75;7.28,1.00",,15,6.652,6.652,3,1.389,0.0,0.0,8.041,ok,,
P3__P8__path_1,P3,P8,path_1,1,davg,"3.58,5.25;3.65,4.25;6.50,4.00;8.80,3.20;8.82,2.35",,16,7.149,7.149,3,1.437,0.0,0.0,8.585,ok,,
P3__P9__path_1,P3,P9,path_1,1,davg,"3.58,5.25;3.65,4.25;5.50,4.25;6.08,5.05",,9,3.841,3.841,2,1.222,0.0,0.0,5.063,ok,,
P3__SORT1__path_1,P3,SORT1,path_1,1,davg,"3.58,5.25;3.65,4.25;6.50,4.00;8.80,3.20;9.72,2.16",,17,7.687,7.687,3,1.086,0.0,0.0,8.773,ok,,
P3__SORT2__path_1,P3,SORT2,path_1,1,davg,"3.58,5.25;3.65,4.25;6.15,4.15;10.36,4.05",,17,7.716,7.716,2,0.739,0.0,0.0,8.454,ok,,
P3__OUT1__path_1,P3,OUT1,path_1,1,davg,"3.58,5.25;3.65,4.25;6.50,4.00;8.80,3.20;12.00,2.00",,21,9.716,9.716,3,0.842,0.0,0.0,10.558,ok,,
P3__OUT2__path_1,P3,OUT2,path_1,1,davg,"3.58,5.25;3.65,4.25;6.15,4.15;12.00,4.00",,20,9.356,9.356,2,0.738,0.0,0.0,10.094,ok,,
P3__CHG1__path_1,P3,CHG1,path_1,1,davg,"3.58,5.25;1.00,0.00",,13,5.85,5.85,0,0.0,0.0,0.0,5.85,ok,,
P3__CHG2__path_1,P3,CHG2,path_1,1,davg,"3.58,5.25;3.65,4.25;4.50,3.10;5.05,0.40;9.00,0.00",,20,9.158,9.158,3,1.136,0.0,0.0,10.294,ok,,
P4__IN1__path_1,P4,IN1,path_1,1,davg,"4.98,1.35;4.50,0.35;3.05,0.35;0.00,1.00",,13,5.678,5.678,2,0.667,0.0,0.0,6.344,ok,,
P4__IN2__path_1,P4,IN2,path_1,1,davg,"4.98,1.35;4.50,3.10;0.00,5.00",,15,6.699,6.699,1,0.452,0.0,0.0,7.151,ok,,
P4__P1__path_1,P4,P1,path_1,1,davg,"4.98,1.35;4.50,0.35;3.05,0.35;2.98,0.95",,8,3.163,3.163,2,1.289,0.0,0.0,4.452,ok,,
P4__P2__path_1,P4,P2,path_1,1,davg,"4.98,1.35;4.52,2.35",,4,1.101,1.101,0,0.0,0.0,0.0,1.101,ok,,
P4__P3__path_1,P4,P3,path_1,1,davg,"4.98,1.35;4.50,3.10;3.65,4.25;3.58,5.25",,10,4.247,4.247,2,0.468,0.0,0.0,4.715,ok,,
P4__P5__path_1,P4,P5,path_1,1,davg,"4.98,1.35;4.85,2.75;4.85,4.00;5.62,4.10",,8,3.432,3.432,2,0.767,0.0,0.0,4.2,ok,,
P4__P6__path_1,P4,P6,path_1,1,davg,"4.98,1.35;4.85,2.75;4.85,4.00;5.50,4.25;6.15,5.70;7.98,5.72",,15,6.772,6.772,4,1.608,0.0,0.0,8.38,ok,,
P4__P7__path_1,P4,P7,path_1,1,davg,"4.98,1.35;5.05,0.40;6.75,0.40;7.28,1.00",,8,3.453,3.453,2,1.172,0.0,0.0,4.625,ok,,
P4__P8__path_1,P4,P8,path_1,1,davg,"4.98,1.35;5.05,0.40;6.75,0.40;8.80,0.55;8.82,2.35",,15,6.508,6.508,3,1.528,0.0,0.0,8.037,ok,,
P4__P9__path_1,P4,P9,path_1,1,davg,"4.98,1.35;4.85,2.75;4.85,4.00;5.50,4.25;6.08,5.05",,10,4.341,4.341,3,0.936,0.0,0.0,5.277,ok,,
P4__SORT1__path_1,P4,SORT1,path_1,1,davg,"4.98,1.35;5.05,0.40;6.75,0.40;8.80,0.55;9.72,2.16",,15,6.562,6.562,3,1.274,0.0,0.0,7.837,ok,,
P4__SORT2__path_1,P4,SORT2,path_1,1,davg,"4.98,1.35;5.05,2.75;6.50,2.75;7.35,3.20;10.36,4.05",,15,6.941,6.941,3,1.11,0.0,0.0,8.051,ok,,
P4__OUT1__path_1,P4,OUT1,path_1,1,davg,"4.98,1.35;5.05,0.40;6.75,0.40;8.80,0.55;12.00,2.00",,18,8.221,8.221,3,0.961,0.0,0.0,9.183,ok,,
P4__OUT2__path_1,P4,OUT2,path_1,1,davg,"4.98,1.35;5.05,2.75;6.50,2.75;7.35,3.20;12.00,4.00",,19,8.532,8.532,3,1.162,0.0,0.0,9.694,ok,,
P4__CHG1__path_1,P4,CHG1,path_1,1,davg,"4.98,1.35;4.50,0.35;1.00,0.00",,11,4.627,4.627,1,0.512,0.0,0.0,5.138,ok,,
P4__CHG2__path_1,P4,CHG2,path_1,1,davg,"4.98,1.35;5.05,0.40;9.00,0.00",,11,4.923,4.923,1,0.698,0.0,0.0,5.621,ok,,
P5__IN1__path_1,P5,IN1,path_1,1,davg,"5.62,4.10;4.85,4.00;3.05,3.10;0.00,1.00",,14,6.492,6.492,2,0.237,0.0,0.0,6.729,ok,,
P5__IN2__path_1,P5,IN2,path_1,1,davg,"5.62,4.10;3.65,4.25;0.00,5.00",,13,5.702,5.702,1,0.063,0.0,0.0,5.765,ok,,
P5__P1__path_1,P5,P1,path_1,1,davg,"5.62,4.10;4.85,4.00;3.05,3.10;2.98,0.95",,11,4.94,4.94,2,0.705,0.0,0.0,5.645,ok,,
P5__P2__path_1,P5,P2,path_1,1,davg,"5.62,4.10;4.85,4.00;4.52,2.35",,6,2.459,2.459,1,0.622,0.0,0.0,3.081,ok,,
P5__P3__path_1,P5,P3,path_1,1,davg,"5.62,4.10;3.65,4.25;3.58,5.25",,7,2.978,2.978,1,0.712,0.0,0.0,3.691,ok,,
P5__P4__path_1,P5,P4,path_1,1,davg,"5.62,4.10;4.85,4.00;4.85,2.75;4.98,1.35",,8,3.432,3.432,2,0.767,0.0,0.0,4.2,ok,,
P5__P6__path_1,P5,P6,path_1,1,davg,"5.62,4.10;6.15,5.70;7.98,5.72",,9,3.516,3.516,1,0.62,0.0,0.0,4.136,ok,,
P5__P7__path_1,P5,P7,path_1,1,davg,"5.62,4.10;6.50,4.00;7.28,1.00",,9,3.985,3.985,1,0.602,0.0,0.0,4.587,ok,,
P5__P8__path_1,P5,P8,path_1,1,davg,"5.62,4.10;6.50,4.00;8.80,3.20;8.82,2.35",,10,4.171,4.171,2,0.717,0.0,0.0,4.888,ok,,
P5__P9__path_1,P5,P9,path_1,1,davg,"5.62,4.10;6.08,5.05",,4,1.056,1.056,0,0.0,0.0,0.0,1.056,ok,,
P5__SORT1__path_1,P5,SORT1,path_1,1,davg,"5.62,4.10;6.50,4.00;8.80,3.20;9.72,2.16",,11,4.709,4.709,2,0.367,0.0,0.0,5.076,ok,,
P5__SORT2__path_1,P5,SORT2,path_1,1,davg,"5.62,4.10;10.36,4.05",,11,4.74,4.74,0,0.0,0.0,0.0,4.74,ok,,
P5__OUT1__path_1,P5,OUT1,path_1,1,davg,"5.62,4.10;6.50,4.00;8.80,3.20;12.00,2.00",,15,6.738,6.738,2,0.123,0.0,0.0,6.861,ok,,
P5__OUT2__path_1,P5,OUT2,path_1,1,davg,"5.62,4.10;12.00,4.00",,14,6.381,6.381,0,0.0,0.0,0.0,6.381,ok,,
P5__CHG1__path_1,P5,CHG1,path_1,1,davg,"5.62,4.10;4.85,4.00;3.05,3.10;1.00,0.00",,15,6.505,6.505,2,0.429,0.0,0.0,6.934,ok,,
P5__CHG2__path_1,P5,CHG2,path_1,1,davg,"5.62,4.10;6.50,4.00;8.80,3.20;9.00,0.00",,15,6.527,6.527,2,0.698,0.0,0.0,7.225,ok,,
P6__IN1__path_1,P6,IN1,path_1,1,davg,"7.98,5.72;6.15,5.70;5.50,4.25;4.85,4.00;3.05,3.10;0.00,1.00",,21,9.831,9.831,4,1.078,0.0,0.0,10.909,ok,,
P6__IN2__path_1,P6,IN2,path_1,1,davg,"7.98,5.72;6.15,5.70;5.50,4.25;3.65,4.25;0.00,5.00",,19,8.995,8.995,3,1.245,0.0,0.0,10.241,ok,,
P6__P1__path_1,P6,P1,path_1,1,davg,"7.98,5.72;6.15,5.70;5.50,4.25;4.85,4.00;3.05,3.10;2.98,0.95",,18,8.279,8.279,4,1.546,0.0,0.0,9.825,ok,,
P6__P2__path_1,P6,P2,path_1,1,davg,"7.98,5.72;6.15,5.70;5.50,4.25;4.85,4.00;4.52,2.35",,13,5.798,5.798,3,1.463,0.0,0.0,7.262,ok,,
P6__P3__path_1,P6,P3,path_1,1,davg,"7.98,5.72;6.15,5.70;5.50,4.25;3.65,4.25;3.58,5.25",,14,6.272,6.272,3,1.894,0.0,0.0,8.166,ok,,
P6__P4__path_1,P6,P4,path_1,1,davg,"7.98,5.72;6.15,5.70;5.50,4.25;4.85,4.00;4.85,2.75;4.98,1.35",,15,6.772,6.772,4,1.608,0.0,0.0,8.38,ok,,
P6__P5__path_1,P6,P5,path_1,1,davg,"7.98,5.72;6.15,5.70;5.62,4.10",,9,3.516,3.516,1,0.62,0.0,0.0,4.136,ok,,
P6__P7__path_1,P6,P7,path_1,1,davg,"7.98,5.72;8.20,5.70;8.20,4.15;7.35,3.20;7.28,1.00",,12,5.247,5.247,3,1.454,0.0,0.0,6.701,ok,,
P6__P8__path_1,P6,P8,path_1,1,davg,"7.98,5.72;8.20,5.70;8.80,3.20;8.82,2.35",,9,3.642,3.642,2,0.728,0.0,0.0,4.37,ok,,
P6__P9__path_1,P6,P9,path_1,1,davg,"7.98,5.72;6.15,5.70;6.08,5.05",,6,2.484,2.484,1,0.726,0.0,0.0,3.21,ok,,
P6__SORT1__path_1,P6,SORT1,path_1,1,davg,"7.98,5.72;8.20,5.70;9.72,2.16",,10,4.073,4.073,1,0.537,0.0,0.0,4.611,ok,,
P6__SORT2__path_1,P6,SORT2,path_1,1,davg,"7.98,5.72;8.20,5.70;10.36,4.05",,7,2.939,2.939,1,0.281,0.0,0.0,3.22,ok,,
P6__OUT1__path_1,P6,OUT1,path_1,1,davg,"7.98,5.72;8.20,5.70;12.00,2.00",,13,5.525,5.525,1,0.341,0.0,0.0,5.865,ok,,
P6__OUT2__path_1,P6,OUT2,path_1,1,davg,"7.98,5.72;8.20,5.70;12.00,4.00",,10,4.384,4.384,1,0.165,0.0,0.0,4.549,ok,,
P6__CHG1__path_1,P6,CHG1,path_1,1,davg,"7.98,5.72;6.15,5.70;5.50,4.25;4.85,4.00;3.05,3.10;1.00,0.00",,21,9.845,9.845,4,1.27,0.0,0.0,11.115,ok,,
P6__CHG2__path_1,P6,CHG2,path_1,1,davg,"7.98,5.72;8.20,5.70;8.80,3.20;9.00,0.00",,13,5.998,5.998,2,0.709,0.0,0.0,6.707,ok,,
P7__IN1__path_1,P7,IN1,path_1,1,davg,"7.28,1.00;6.75,0.40;4.50,0.35;3.05,0.35;0.00,1.00",,17,7.62,7.62,3,0.529,0.0,0.0,8.148,ok,,
P7__IN2__path_1,P7,IN2,path_1,1,davg,"7.28,1.00;6.75,2.75;4.85,2.75;4.50,3.10;0.00,5.00",,20,9.108,9.108,3,1.224,0.0,0.0,10.332,ok,,
P7__P1__path_1,P7,P1,path_1,1,davg,"7.28,1.00;6.75,0.40;4.50,0.35;3.05,0.35;2.98,0.95",,12,5.105,5.105,3,1.151,0.0,0.0,6.256,ok,,
P7__P2__path_1,P7,P2,path_1,1,davg,"7.28,1.00;6.75,2.75;5.05,2.75;4.52,2.35",,10,4.192,4.192,2,0.962,0.0,0.0,5.154,ok,,
P7__P3__path_1,P7,P3,path_1,1,davg,"7.28,1.00;6.75,2.75;4.85,2.75;3.65,4.25;3.58,5.25",,15,6.652,6.652,3,1.389,0.0,0.0,8.041,ok,,
P7__P4__path_1,P7,P4,path_1,1,davg,"7.28,1.00;6.75,0.40;5.05,0.40;4.98,1.35",,8,3.453,3.453,2,1.172,0.0,0.0,4.625,ok,,
P7__P5__path_1,P7,P5,path_1,1,davg,"7.28,1.00;6.50,4.00;5.62,4.10",,9,3.985,3.985,1,0.602,0.0,0.0,4.587,ok,,
P7__P6__path_1,P7,P6,path_1,1,davg,"7.28,1.00;7.35,3.20;8.20,4.15;8.20,5.70;7.98,5.72",,12,5.247,5.247,3,1.454,0.0,0.0,6.701,ok,,
P7__P8__path_1,P7,P8,path_1,1,davg,"7.28,1.00;7.35,0.55;8.80,0.55;8.82,2.35",,9,3.706,3.706,2,1.488,0.0,0.0,5.194,ok,,
P7__P9__path_1,P7,P9,path_1,1,davg,"7.28,1.00;6.50,4.00;6.15,4.15;6.08,5.05",,10,4.383,4.383,2,1.0,0.0,0.0,5.383,ok,,
P7__SORT1__path_1,P7,SORT1,path_1,1,davg,"7.28,1.00;7.35,0.55;8.80,0.55;9.72,2.16",,9,3.76,3.76,2,1.234,0.0,0.0,4.994,ok,,
P7__SORT2__path_1,P7,SORT2,path_1,1,davg,"7.28,1.00;7.35,3.20;10.36,4.05",,12,5.329,5.329,1,0.632,0.0,0.0,5.961,ok,,
P7__OUT1__path_1,P7,OUT1,path_1,1,davg,"7.28,1.00;7.35,0.55;8.80,0.55;12.00,2.00",,12,5.419,5.419,2,0.921,0.0,0.0,6.34,ok,,
P7__OUT2__path_1,P7,OUT2,path_1,1,davg,"7.28,1.00;7.35,3.20;12.00,4.00",,15,6.919,6.919,1,0.684,0.0,0.0,7.604,ok,,
P7__CHG1__path_1,P7,CHG1,path_1,1,davg,"7.28,1.00;6.75,0.40;1.00,0.00",,15,6.564,6.564,1,0.389,0.0,0.0,6.953,ok,,
P7__CHG2__path_1,P7,CHG2,path_1,1,davg,"7.28,1.00;7.35,0.55;9.00,0.00",,6,2.195,2.195,1,0.547,0.0,0.0,2.742,ok,,
P8__IN1__path_1,P8,IN1,path_1,1,davg,"8.82,2.35;8.80,0.55;6.75,0.40;4.50,0.35;3.05,0.35;0.00,1.00",,23,10.675,10.675,4,0.885,0.0,0.0,11.559,ok,,
P8__IN2__path_1,P8,IN2,path_1,1,davg,"8.82,2.35;8.80,3.20;6.50,4.00;3.65,4.25;0.00,5.00",,21,9.873,9.873,3,0.787,0.0,0.0,10.66,ok,,
