run_id,seed,n,method,p1_algorithm,amr_count,H,Cmax,total_delay,late_count,priority_late_count,missing_path_count,missing_transition_count,missing_loaded_path_count,energy_violation_count,solve_time,feasible,capacity_satisfied,F2,F3,case_tasks_csv,case_amrs_csv,case_output_dir,solver_info,source
stage3_m2_s1_n28,1,28,m2,mixed,4,55.0,108.358025,228.540237,7,10.0,0,0,0,1,28.933,0,0,15025.395903,906.142847,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_28/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_28/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_28,"{""level_values"": {}, ""level_status"": {""missing"": ""no_solution(No Solution Found)""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 28.93}",p5_stage3_self_run
stage3_m2_s1_n29,1,29,m2,mixed,4,55.0,103.926173,232.443412,7,9.0,0,0,0,2,31.486,0,0,14088.340853,807.816351,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_29/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_29/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_29,"{""level_values"": {}, ""level_status"": {""missing"": ""no_solution(No Solution Found)""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 31.483}",p5_stage3_self_run
stage3_m2_s1_n30,1,30,m2,mixed,4,55.0,108.954321,230.116034,6,9.0,0,0,0,3,32.204,0,0,15183.36541,835.011992,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_30/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_1/n_30/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_1_n_30,"{""level_values"": {}, ""level_status"": {""missing"": ""no_solution(No Solution Found)""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 32.201}",p5_stage3_self_run
stage3_m2_s2_n01,2,1,m2,mixed,4,55.0,14.106667,0.0,0,0.0,0,0,0,0,0.055,1,1,70.533333,160.263467,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_01/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_01/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_2_n_01,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 70.533335, ""f3"": 160.26347}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.054}",p5_stage3_self_run
stage3_m2_s2_n02,2,2,m2,mixed,4,55.0,14.162333,0.0,0,0.0,0,0,0,0,0.057,1,1,70.811667,181.246333,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_02/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_02/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_2_n_02,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 70.811665, ""f3"": 181.24633}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.057}",p5_stage3_self_run
stage3_m2_s2_n03,2,3,m2,mixed,4,55.0,14.162333,0.0,0,0.0,0,0,0,0,0.065,1,1,70.811667,208.031133,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_03/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_03/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_2_n_03,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 70.811665, ""f3"": 208.03113}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.065}",p5_stage3_self_run
stage3_m2_s2_n04,2,4,m2,mixed,4,55.0,14.724222,0.0,0,0.0,0,0,0,0,0.075,1,1,73.621111,139.292105,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_04/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_04/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_2_n_04,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 73.62111, ""f3"": 75.2216}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.075}",p5_stage3_self_run
stage3_m2_s2_n05,2,5,m2,mixed,4,55.0,17.417273,0.0,0,0.0,0,0,0,0,0.166,1,1,87.086364,123.248794,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_05/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_05/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_2_n_05,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 87.086365, ""f3"": 90.6994}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.166}",p5_stage3_self_run
stage3_m2_s2_n06,2,6,m2,mixed,4,55.0,23.503939,0.0,0,0.0,0,0,0,0,6.076,1,1,117.519697,202.035261,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_06/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_06/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_2_n_06,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 117.519695, ""f3"": 116.0542}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 6.076}",p5_stage3_self_run
stage3_m2_s2_n07,2,7,m2,mixed,4,55.0,25.264848,0.0,0,0.0,0,0,0,0,27.356,1,1,126.324242,211.795739,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_07/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_2/n_07/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_2_n_07,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 126.32424, ""f3"": 133.035}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 27.356}",p5_stage3_self_run
